page_url,revenue_millions,industry,year_founded,employees
https://www.inc.com/profile/freestar,36.9,Advertising & Marketing,2015,40
https://www.inc.com/profile/freightwise,33.6,Logistics & Transportation,2015,39
https://www.inc.com/profile/ceces-veggie,24.9,Food & Beverage,2015,190
https://www.inc.com/profile/ladyboss,32.4,Consumer Products & Services,2014,57
https://www.inc.com/profile/perpay,22.5,Retail,2014,25
https://www.inc.com/profile/cano-health,271.8,Health,2009,742
https://www.inc.com/profile/bear-mattress,20.5,Consumer Products & Services,2014,12
https://www.inc.com/profile/connected-solutions-group,23.3,Telecommunications,2015,$0
https://www.inc.com/profile/providence-healthcare-management,225.9,Health,2008,60
https://www.inc.com/profile/nom,21.4,Advertising & Marketing,2014,37
https://www.inc.com/profile/nuleaf-naturals,13.9,Consumer Products & Services,2014,40
https://www.inc.com/profile/urgently,30.3,Logistics & Transportation,2013,226
https://www.inc.com/profile/nutpods,19.1,Food & Beverage,2013,23
https://www.inc.com/profile/yieldstreet,19.1,Financial Services,2015,66
https://www.inc.com/profile/mutesix,17.3,Advertising & Marketing,2014,NA
https://www.inc.com/profile/anchor-worldwide,10.7,Advertising & Marketing,2015,110
https://www.inc.com/profile/lendingpoint,105.8,Financial Services,2014,190
https://www.inc.com/profile/with-clarity,19,Consumer Products & Services,2013,14
https://www.inc.com/profile/sonendo,24.4,Health,2006,191
https://www.inc.com/profile/kindred-bravely,9.6,Consumer Products & Services,2015,35
https://www.inc.com/profile/tailor-made-compounding,10.2,Health,2015,45
https://www.inc.com/profile/sd3it,11.9,Computer Hardware,2014,12
https://www.inc.com/profile/convertkit,13.8,Software,2013,NA
https://www.inc.com/profile/printify,10.5,Software,2015,70
https://www.inc.com/profile/awardco,8.9,Software,2015,42
https://www.inc.com/profile/pegasus-optimization-managers,128.2,Energy,2015,191
https://www.inc.com/profile/fitt-scientific,15.8,Government Services,2013,191
https://www.inc.com/profile/amherst-madison,7.8,Real Estate,2014,8
https://www.inc.com/profile/lumenad,11.8,Software,2014,60
https://www.inc.com/profile/bendcare,156,Health,2015,37
https://www.inc.com/profile/the-welfont-companies,20.4,Real Estate,2014,51
https://www.inc.com/profile/Skinny-Dipped,10.2,Consumer Products & Services,2013,21
https://www.inc.com/profile/rdi-technologies,7.2,Manufacturing,2013,21
https://www.inc.com/profile/limited-run-games,20.8,Media,2010,21
https://www.inc.com/profile/swanleap,162.6,Logistics & Transportation,2013,38
https://www.inc.com/profile/vesta-modular,48.9,Construction,2014,52
