page_url,revenue_millions,industry,year_founded,employees,website,Revenue,3 Years Growth,Traffic Overview,% Search Traffic,Is Homepage Secure?,id
https://www.inc.com/profile/freestar,36.9,Advertising & Marketing,2015,40,freestar.com,36.9 M,36680%,NA,33.30%,Secure,1
https://www.inc.com/profile/freightwise,33.6,Logistics & Transportation,2015,39,freightwisellc.com,33.6 M,30548%,NA,8.45%,Secure,2
https://www.inc.com/profile/ceces-veggie,24.9,Food & Beverage,2015,190,cecesveggieco.com,24.9 M,23880%,NA,85.67%,Secure,3
https://www.inc.com/profile/ladyboss,32.4,Consumer Products & Services,2014,57,ladyboss.com,32.4 M,21850%,202770,23.42%,Secure,4
https://www.inc.com/profile/perpay,22.5,Retail,2014,25,perpay.com,22.5 M,18166%,556830,34.77%,Secure,5
https://www.inc.com/profile/cano-health,271.8,Health,2009,742,canohealth.com,271.8 M,14183%,NA,58.99%,Secure,6
https://www.inc.com/profile/bear-mattress,20.5,Consumer Products & Services,2014,12,bearmattress.com,20.5 M,13481%,142010,36.37%,Secure,7
https://www.inc.com/profile/connected-solutions-group,23.3,Telecommunications,2015,$0,csgstore.net,23.3 M,12701%,NA,58.59%,Secure,8
https://www.inc.com/profile/providence-healthcare-management,225.9,Health,2008,60,providencehcm.com,225.9 M,12565%,NA,100.00%,Secure,9
https://www.inc.com/profile/nom,21.4,Advertising & Marketing,2014,37,thisisnom.co,21.4 M,11996%,NA,100.00%,Secure,10
https://www.inc.com/profile/nuleaf-naturals,13.9,Consumer Products & Services,2014,40,nuleafnaturals.com,13.9 M,11949%,380730,29.91%,Secure,11
https://www.inc.com/profile/urgently,30.3,Logistics & Transportation,2013,226,geturgently.com,30.3 M,11633%,72340,68.66%,Secure,12
https://www.inc.com/profile/nutpods,19.1,Food & Beverage,2013,23,nutpods.com,19.1 M,11623%,NA,59.53%,Secure,13
https://www.inc.com/profile/yieldstreet,19.1,Financial Services,2015,66,yieldstreet.com,19.1 M,10562%,345110,7.74%,Secure,14
https://www.inc.com/profile/mutesix,17.3,Advertising & Marketing,2014,NA,mutesix.com,17.3 M,10176%,NA,68.18%,Secure,15
https://www.inc.com/profile/anchor-worldwide,10.7,Advertising & Marketing,2015,110,anchorww.com,10.7 M,9753%,NA,100.00%,Secure,16
https://www.inc.com/profile/lendingpoint,105.8,Financial Services,2014,190,lendingpoint.com,105.8 M,9265%,95890,29.44%,Secure,17
https://www.inc.com/profile/with-clarity,19,Consumer Products & Services,2013,14,withclarity.com,19 M,9179%,97940,41.61%,Secure,18
https://www.inc.com/profile/sonendo,24.4,Health,2006,191,sonendo.com,24.4 M,8657%,NA,48.37%,Secure,19
